Reference, Value, Footprint, Datasheet
"J1","Conn_01x02","","~"
"F1","Keystone Fuse Holder","","~"
"C24","100nF","","~"
"C27","100nF","","~"
"F3","Keystone Fuse Holder","","~"
"C26","100nF","","~"
"C29","100nF","","~"
"J2","Conn_01x02","","~"
"D1","D_Schottky","","~"
"F2","Keystone Fuse Holder","","~"
"C25","100nF","","~"
"C28","100nF","","~"
"U2","A4403","",""
"U4","AP7361C-33E-13","",""
"U3","TPS54531","",""
"D2","D_Schottky","","~"
"C31","4.7uF","","~"
"C32","100nF","","~"
"C30","4.7uF","","~"
"C43","0.01uF","","~"
"L2","4.7uH","","~"
"C44","100nF","","~"
"C49","47uF","","~"
"C51","47uF","","~"
"R10","10.2k","","~"
"R11","1.96k","","~"
"C47","47pF","","~"
"D5","B540","","~"
"C40","22pF","","~"
"C39","2200pF","","~"
"R6","37.4k","","~"
"F4","5A","","~"
"C42","10uF","","~"
"C46","10uF","","~"
"D3","D_Schottky","","~"
"C37","10uF","","~"
"C38","100nF","","~"
"C36","100uF","","~"
"R7","200k","","~"
"JP3","Jumper","","~"
"C41","100nF","","~"
"C45","22nF","","~"
"L3","10uH","","~"
"D4","DB2W40300L","","~"
"R8","0.1","","~"
"R9","0.1","","~"
"R12","10.5k","","~"
"R13","750","","~"
"C48","8.2nF","","~"
"C50","10uF","","~"
"C52","10uF","","~"
"C53","100nF","","~"
"JP22","Jumper_3_Open","","~"
"D6","LED","","~"
"R66","2.2k","","~"
"D7","LED","","~"
"R67","2.2k","","~"
"D8","LED","","~"
"R68","2.2k","","~"
"X_Driver1","TMC2209","",""
"C63","100uF","","~"
"C65","10u","","~"
"C71","100nF","","~"
"C69","100nF","","~"
"C60","100nF","","~"
"C61","22nF","","~"
"C55","100nF","","~"
"C57","4.7uF","","~"
"R19","0R11","","~"
"R21","0R11","","~"
"C73","100nF","","~"
"C67","100nF","","~"
"R17","0R11","","~"
"R15","20k","","~"
"JP5","Stall Detection","","~"
"C75","1nF","","~"
"C77","1nF","","~"
"C79","1nF","","~"
"C81","1nF","","~"
"J4","Conn_01x04","","~"
"Y_Driver1","TMC2209","",""
"C90","100uF","","~"
"C92","10u","","~"
"C98","100nF","","~"
"C96","100nF","","~"
"C86","100nF","","~"
"C87","22nF","","~"
"C82","100nF","","~"
"C84","4.7uF","","~"
"R26","0R11","","~"
"R28","0R11","","~"
"C100","100nF","","~"
"C94","100nF","","~"
"R24","0R11","","~"
"R22","20k","","~"
"JP8","Stall Detection","","~"
"C102","1nF","","~"
"C104","1nF","","~"
"C106","1nF","","~"
"C108","1nF","","~"
"J5","Conn_01x04","","~"
"Z_Driver1","TMC2209","",""
"C62","100uF","","~"
"C64","10u","","~"
"C70","100nF","","~"
"C68","100nF","","~"
"C58","100nF","","~"
"C59","22nF","","~"
"C54","100nF","","~"
"C56","4.7uF","","~"
"R18","0R11","","~"
"R20","0R11","","~"
"C72","100nF","","~"
"C66","100nF","","~"
"R16","0R11","","~"
"R14","20k","","~"
"JP4","Stall Detection","","~"
"C74","1nF","","~"
"C76","1nF","","~"
"C78","1nF","","~"
"C80","1nF","","~"
"J3","Conn_01x04","","~"
"C91","100uF","","~"
"C93","10u","","~"
"C99","100nF","","~"
"C97","100nF","","~"
"C88","100nF","","~"
"C89","22nF","","~"
"C83","100nF","","~"
"C85","4.7uF","","~"
"R27","0R11","","~"
"R29","0R11","","~"
"C101","100nF","","~"
"C95","100nF","","~"
"R25","0R11","","~"
"R23","20k","","~"
"JP9","Stall Detection","","~"
"C103","1nF","","~"
"C105","1nF","","~"
"C107","1nF","","~"
"C109","1nF","","~"
"J6","Conn_01x04","","~"
"JP7","SPREAD_STEALTH","","~"
"JP6","SPREAD_STEALTH","","~"
"JP10","SPREAD_STEALTH","","~"
"E0_Driver1","TMC2209","",""
"JP11","SPREAD_STEALTH","","~"
"U1","STM32F407IGTx","Package_QFP:LQFP-176_24x24mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00037051.pdf"
"C2","100nF","","~"
"C4","4.7uF","","~"
"C6","100nF","","~"
"C7","100nF","","~"
"C8","100nF","","~"
"C9","100nF","","~"
"C10","100nF","","~"
"C11","100nF","","~"
"C12","100nF","","~"
"C13","100nF","","~"
"C14","100nF","","~"
"C5","100nF","","~"
"C15","100nF","","~"
"C16","100nF","","~"
"C17","100nF","","~"
"C18","100nF","","~"
"C19","4.7uF","","~"
"C3","2.2uF","","~"
"C1","2.2uF","","~"
"C20","100nF","","~"
"C21","1uF","","~"
"C22","1uF","","~"
"C23","100nF","","~"
"L1","10uH","","~"
"Y1","12MHz, 20pF","","~"
"C34","10pF","","~"
"C33","10pF","","~"
"R1","10k","","~"
"SW1","SW_Push","","~"
"C35","100nF","","~"
"R2","1k","","~"
"R4","1k","","~"
"R3","10k","","~"
"R5","10k","","~"
"JP1","Jumper_2_Open","","~"
"JP2","Jumper_2_Open","","~"
"J12","USB_B_Mini","","~"
"F5","500mA","","~"
